"Region","SqftEst","SqftMeasure","SqftHeated","CostElec","SqftAirCond","CostNatgas","CostFueloil","CostLPG","CostKero","TypeHome","YearMade","Neighborhood","HHSize","HHIncome","CostTotal"
"West",100,1476,826,812,826,537,0,582,0,"Single","dec1980","Suburbs",2,32500,1931
"Midwest",2300,3168,3168,1101,3168,0,0,1066,238,"Single","dec1970","Rural",5,47500,2405
"South",2250,3264,2864,1661,2864,483,0,0,0,"Single","dec1990","Town",2,87500,2144
"Midwest",3000,6666,4916,3009,6266,868,0,0,0,"Single","dec1990","Rural",5,82500,3877
"South",1500,1923,1673,2234,1004,706,0,0,0,"Single","pre1950","Town",5,27500,2940
"South",900,1275,1025,1237,1025,392,0,0,0,"Single","dec1950","Town",2,42500,1629
"West",,1021,1021,816,1021,312,0,0,0,"Apartment","dec1980","City",5,32500,1128
"South",1200,1163,1163,611,1163,0,0,0,0,"Apartment","dec1990","City",2,47500,611
"South",800,693,693,1160,693,593,0,0,0,"Single","dec1950","City",3,17500,1753
"South",3400,2473,1237,2201,2473,432,0,0,0,"Single","dec1960","Rural",2,120000,2633
"South",2700,2802,1201,2389,2402,0,0,0,0,"Single","dec1970","City",5,120000,2389
"South",1800,2026,203,859,2026,269,0,0,0,"Single","dec1970","City",1,47500,1128
"Midwest",1200,2524,2124,642,708,1250,0,0,0,"Single","dec1960","Town",2,27500,1892
"West",920,798,798,659,0,0,0,1240,0,"Mobile","dec1970","Rural",3,72500,1899
"South",1400,1372,1372,1130,1372,0,0,630,0,"Single","dec1990","Rural",5,62500,1760
"West",,1120,720,1736,720,307,0,0,0,"Single","pre1950","City",4,110000,2043
"Northeast",1600,3348,1933,976,3098,0,0,1790,0,"Single","dec2000","Rural",2,22500,2766
"West",,1748,1748,1053,1748,367,0,0,0,"Single","dec1960","City",2,42500,1420
"West",,1200,0,1394,0,0,0,0,0,"Single","pre1950","City",3,62500,1394
"Northeast",,412,412,458,412,389,0,0,0,"Apartment","dec1980","Suburbs",1,22500,847
"West",1550,3351,2951,1856,2951,697,0,0,0,"Single","dec1980","City",3,47500,2553
"Northeast",,1500,1000,1084,1250,623,0,0,0,"Single","dec2000","Town",2,110000,1707
"Northeast",378,413,413,189,206,0,0,0,0,"Apartment","pre1950","City",1,37500,189
"Midwest",,2268,1134,870,2268,617,0,0,0,"Single","dec1950","City",1,3750,1487
"West",1400,1290,890,315,0,649,0,0,0,"Single","dec1950","City",2,27500,964
"Midwest",2900,5663,3463,465,619,1353,0,0,0,"Single","dec2000","Suburbs",5,57500,1818
"South",2100,2800,1000,1025,2400,0,0,0,0,"Single","dec2000","City",2,42500,1025
"West",800,1438,1438,443,0,125,0,0,0,"Apartment","dec1970","City",3,17500,568
"West",,544,0,164,544,116,0,0,0,"Apartment","dec1980","City",2,32500,280
"West",1100,1317,1317,395,509,464,0,0,0,"Apartment","dec1980","Suburbs",1,52500,859
"West",,694,694,354,694,99,0,0,0,"Apartment","dec1950","City",4,17500,453
"Northeast",,677,677,657,226,0,0,0,0,"Apartment","dec1950","Rural",1,27500,657
"South",4700,5402,2334,2195,1708,1813,0,582,0,"Single","dec1980","City",2,120000,4590
"South",1200,1705,1066,862,513,0,0,0,0,"Single","dec1950","City",1,12500,862
"South",,2880,1440,1514,2880,0,0,0,0,"Single","dec1970","Rural",3,32500,1514
"Northeast",,616,616,1046,0,221,0,0,0,"Apartment","dec1960","City",2,12500,1267
"Northeast",1300,1976,1378,495,395,844,0,0,0,"Single","dec1960","City",1,8750,1339
"South",800,803,803,2056,803,0,0,0,0,"Apartment","dec1990","City",4,67500,2056
"Midwest",4000,4950,2475,1415,4550,957,0,0,0,"Single","dec2000","Town",4,62500,2372
"Northeast",,1452,993,881,0,1373,0,0,0,"Single","dec1950","Town",5,17500,2254
"South",,1417,1417,1673,1417,0,0,0,0,"Apartment","dec1970","City",5,12500,1673
"Northeast",2300,1808,1408,1070,1408,1624,0,0,0,"Single","dec2000","Town",2,37500,2694
"Northeast",2400,4908,2454,784,0,0,2268,0,0,"Single","pre1950","Town",3,62500,3052
"Northeast",400,2210,384,270,0,0,0,0,75,"Single","pre1950","City",1,6250,345
"West",,1260,606,694,0,337,0,0,0,"Single","dec1960","City",4,52500,1031
"Northeast",1200,2251,1711,482,375,1134,0,0,0,"Single","dec1950","Suburbs",1,22500,1616
"South",1600,1175,925,1325,925,480,0,0,0,"Single","dec1990","Town",2,12500,1805
"West",980,2340,1170,336,0,803,0,0,0,"Single","dec1960","Rural",1,22500,1139
"West",1800,3798,2574,972,3398,479,0,0,0,"Single","pre1950","City",1,62500,1451
"West",650,567,567,770,189,0,0,0,0,"Apartment","dec1970","City",3,22500,770
"Midwest",,634,634,537,211,522,0,0,0,"Apartment","pre1950","City",3,32500,1059
"Northeast",,728,728,982,546,169,2042,0,0,"Apartment","dec1950","City",2,12500,3193
"West",1750,3052,2571,939,2652,611,0,0,0,"Single","dec1980","City",2,62500,1550
"South",1675,2477,2077,2180,2077,0,0,0,0,"Single","dec1970","Suburbs",2,22500,2180
"Northeast",1700,2059,1695,782,1373,1962,0,0,0,"Single","pre1950","Town",3,32500,2744
"South",1250,1500,1500,1401,1500,898,0,0,0,"Single","dec1970","City",3,37500,2299
"Midwest",1400,1431,1431,1419,659,0,0,808,0,"Single","dec1990","Rural",3,72500,2227
"West",840,932,932,750,0,0,0,877,0,"Mobile","dec1970","Town",3,12500,1627
"South",,3150,3150,1101,3150,1024,0,0,0,"Single","dec1950","City",1,42500,2125
"South",1104,1554,1554,2442,1554,0,0,0,0,"Single","dec1960","City",5,27500,2442
"Midwest",1650,5632,3408,744,5232,1006,0,0,0,"Single","dec1990","City",2,82500,1750
"West",1642,2475,2075,587,0,400,0,0,0,"Single","dec1980","Rural",1,22500,987
"Midwest",2112,2416,2416,1501,2016,1250,0,0,0,"Single","dec2000","Suburbs",4,67500,2751
"Midwest",2568,2419,1551,1474,2019,1469,0,0,0,"Single","dec1960","City",4,82500,2943
"Midwest",700,832,499,584,278,554,0,0,0,"Single","dec1980","City",1,6250,1138
"Midwest",2000,2898,2498,581,0,732,0,0,0,"Single","dec1970","Rural",3,62500,1313
"South",1500,3240,1370,2324,2990,0,0,0,0,"Single","dec1990","City",4,32500,2324
"South",1400,608,608,681,608,0,0,0,0,"Apartment","dec1980","City",1,120000,681
"West",1450,766,766,846,766,603,0,0,0,"Apartment","dec1980","Suburbs",1,110000,1449
"South",2450,3538,1274,1614,1193,0,0,388,0,"Single","dec2000","Rural",2,32500,2002
"Midwest",,3153,2502,806,0,1383,0,0,0,"Single","pre1950","Rural",1,37500,2189
"South",1000,624,624,496,0,728,0,0,0,"Mobile","dec1970","Town",1,8750,1224
"West",728,980,980,589,245,0,0,0,0,"Mobile","dec1970","City",1,8750,589
"Midwest",,2330,1536,1078,2330,728,0,0,0,"Single","dec1970","Town",2,32500,1806
"South",,1350,1350,1937,1350,697,0,0,0,"Single","dec1950","Town",2,22500,2634
"South",1700,1431,1431,1663,1431,0,0,0,0,"Single","dec1980","City",3,32500,1663
"Northeast",2200,2520,2120,1189,2120,1642,0,0,0,"Single","dec1980","Suburbs",2,57500,2831
"Midwest",,1200,1200,609,1200,566,0,0,0,"Single","dec1970","City",2,42500,1175
"South",1875,4380,1293,1904,4130,1127,0,0,0,"Single","dec1970","Rural",2,17500,3031
"Midwest",,4361,2646,1383,4361,0,0,0,0,"Single","pre1950","Suburbs",3,17500,1383
"South",,1674,1674,881,1674,674,0,0,0,"Single","dec1950","Town",2,22500,1555
"Midwest",1239,1361,1361,451,1021,1297,0,0,0,"Apartment","pre1950","City",1,6250,1748
"South",,2145,1745,2435,1745,449,0,0,0,"Single","dec2000","Suburbs",3,42500,2884
"West",1466,1458,0,1182,384,298,0,0,0,"Single","dec2000","City",4,37500,1480
"South",500,1093,1093,647,0,558,0,0,0,"Apartment","pre1950","City",3,12500,1205
"West",,2240,1840,2277,0,709,0,0,0,"Single","dec1950","Rural",5,22500,2986
"Northeast",,2740,2740,719,2490,1169,0,0,0,"Single","dec1960","Suburbs",4,57500,1888
"South",,612,612,343,306,1446,0,0,0,"Apartment","dec1970","City",1,47500,1789
"South",1800,2515,2515,1810,2515,0,0,0,0,"Single","dec1990","Rural",8,37500,1810
"Northeast",1140,1296,1296,406,1296,1034,0,0,0,"Mobile","dec1990","Town",2,17500,1440
"West",1800,2507,2107,418,421,624,0,0,0,"Single","dec1990","Suburbs",3,87500,1042
"South",1450,1390,1390,2335,1390,0,0,0,0,"Single","dec1990","Rural",4,72500,2335
"Midwest",,536,536,122,179,548,0,0,0,"Apartment","dec1970","City",1,12500,670
"West",1100,782,782,2294,0,543,0,0,0,"Apartment","pre1950","City",5,120000,2837
"Midwest",,3690,3690,722,461,1295,0,0,0,"Single","pre1950","Town",3,12500,2017
"West",1200,1609,1209,846,0,859,0,0,0,"Single","dec2000","City",3,57500,1705
"Midwest",2100,4160,2716,1087,3760,461,0,0,0,"Single","dec1990","Suburbs",3,77500,1548
"Northeast",3500,3657,1504,3121,3007,1109,0,0,0,"Single","dec1990","Suburbs",4,120000,4230
"Midwest",1230,2464,1723,513,913,436,0,0,0,"Single","dec1990","Rural",1,57500,949
"South",,2132,0,1907,2132,0,0,0,0,"Apartment","dec1970","City",4,37500,1907
"South",,1785,1785,709,1785,0,0,0,0,"Apartment","dec2000","City",1,120000,709
"West",1200,1624,1224,408,0,672,0,0,0,"Single","dec2000","Town",2,37500,1080
"West",,1932,1282,940,1282,540,0,0,0,"Single","dec1990","Suburbs",1,72500,1480
"South",2650,6195,4763,1184,5795,1086,0,0,0,"Single","dec1980","Suburbs",4,110000,2270
"South",1600,4110,3710,2806,3710,264,0,0,0,"Single","dec2000","City",4,32500,3070
"Midwest",1200,1508,0,514,0,0,256,331,0,"Single","dec1970","Rural",1,17500,1101
"Midwest",,448,448,555,224,0,0,0,0,"Single","dec1960","Town",3,12500,555
"Northeast",,3024,2016,404,504,0,1344,0,0,"Single","dec1950","City",2,17500,1748
"Northeast",1500,5544,2966,1256,514,0,1794,0,0,"Single","pre1950","Rural",4,52500,3050
"South",720,720,720,1434,180,0,0,1886,0,"Mobile","dec1980","Rural",4,17500,3320
"Midwest",1300,5736,5736,307,889,585,0,0,0,"Single","pre1950","Town",1,17500,892
"South",1300,2170,2170,667,2170,795,0,0,0,"Single","dec1980","Suburbs",1,92500,1462
"Northeast",1500,1633,1318,695,612,0,0,1324,0,"Single","dec1970","Suburbs",2,52500,2019
"West",2050,5445,3230,2160,5045,0,0,0,0,"Single","dec1980","Suburbs",3,120000,2160
"South",4000,4484,4484,2146,1868,0,0,526,0,"Single","dec1980","Rural",2,62500,2672
"Midwest",952,3808,1904,372,0,0,1968,0,0,"Single","dec1950","City",2,47500,2340
"South",2300,4199,2533,1986,3799,0,0,0,0,"Single","dec2000","Town",4,82500,1986
"Northeast",,2540,2540,1515,317,0,1764,0,0,"Single","dec1960","Suburbs",3,120000,3279
"West",,3016,0,1841,1744,0,0,0,0,"Single","dec1990","Rural",4,57500,1841
"Northeast",891,1782,891,311,0,0,1447,0,0,"Single","pre1950","Rural",1,12500,1758
"West",1100,1260,1260,290,1260,445,0,0,0,"Single","dec1950","City",4,57500,735
"Northeast",1000,962,788,431,0,0,1236,0,0,"Apartment","pre1950","City",1,22500,1667
"Northeast",1105,1634,1322,1319,692,638,0,0,0,"Single","dec1960","City",4,27500,1957
"Northeast",,1939,1026,702,1539,1151,0,0,0,"Single","dec1960","City",1,120000,1853
"West",1563,2430,870,1421,0,0,0,0,0,"Single","dec1960","Town",4,42500,1421
"Midwest",3000,1936,1936,1652,1936,606,0,0,0,"Single","dec1950","City",3,37500,2258
"Midwest",,1650,825,1610,354,577,0,0,0,"Single","dec1970","City",3,62500,2187
"Northeast",,2352,1176,957,784,1425,0,0,0,"Single","dec2000","Suburbs",3,37500,2382
"South",720,720,720,877,288,0,0,951,0,"Mobile","dec1980","Rural",2,8750,1828
"Northeast",1500,2448,1232,1022,0,1794,0,0,0,"Single","pre1950","City",3,32500,2816
"West",,800,800,794,200,0,0,0,0,"Apartment","dec1970","Rural",2,47500,794
"South",840,840,840,1165,840,0,0,0,0,"Mobile","dec1990","Rural",2,27500,1165
"South",920,1600,400,982,800,0,0,0,0,"Single","pre1950","City",1,77500,982
"South",,1500,1250,1220,750,0,0,565,0,"Single","dec1970","Rural",3,37500,1785
"Midwest",2100,2591,2341,830,936,978,0,0,0,"Single","pre1950","Suburbs",3,22500,1808
"South",,1536,768,1113,1536,0,0,0,0,"Single","dec2000","Rural",4,22500,1113
"Midwest",2700,8049,5901,637,7649,944,0,0,0,"Single","dec2000","Town",1,92500,1581
"Northeast",1300,1802,1256,340,0,508,0,0,0,"Single","pre1950","City",2,12500,848
"West",1600,2304,1536,127,0,955,0,0,0,"Single","pre1950","City",2,87500,1082
"South",2000,3378,1564,2251,3128,0,0,0,0,"Single","dec1950","City",2,120000,2251
"West",2100,2747,2347,2115,2347,344,0,0,0,"Single","dec1990","City",4,72500,2459
"West",,672,560,985,672,755,0,0,0,"Apartment","dec1970","City",2,12500,1740
"Midwest",2100,2079,1365,1697,1429,1061,0,0,0,"Single","dec1980","Rural",3,120000,2758
"South",2000,2036,1454,1849,2036,0,0,0,0,"Single","dec1970","Rural",2,37500,1849
"West",1000,3000,1875,1480,0,0,0,0,0,"Single","pre1950","Rural",3,37500,1480
"South",1500,2044,1644,1950,1644,0,0,525,0,"Single","dec1970","Rural",6,32500,2475
"Midwest",1400,4569,4088,1761,2117,356,0,0,0,"Single","pre1950","Town",4,87500,2117
"Midwest",2800,6589,3959,1619,2111,883,0,1407,0,"Single","pre1950","Suburbs",4,120000,3909
"Northeast",,5400,2100,1187,0,0,1135,0,0,"Single","pre1950","Rural",3,37500,2322
"Midwest",1950,2142,952,404,0,942,0,0,0,"Single","pre1950","City",2,72500,1346
"West",1600,1463,1463,515,0,1163,0,0,0,"Apartment","dec1980","Suburbs",2,120000,1678
"Midwest",3500,7480,3340,1374,7080,1564,0,0,0,"Single","dec1960","City",4,62500,2938
"West",,912,0,1119,0,0,0,0,0,"Single","dec1950","Suburbs",1,37500,1119
"South",1500,2520,1260,914,2520,438,0,0,0,"Single","pre1950","City",1,42500,1352
"West",,452,452,936,0,0,0,0,0,"Apartment","dec1980","City",5,17500,936
"South",1500,1537,1137,958,1137,270,0,0,0,"Single","dec1980","Town",2,47500,1228
"South",1700,2072,2072,1479,2072,308,0,0,0,"Single","dec1960","City",6,22500,1787
"South",1800,1162,417,800,229,1462,0,0,0,"Single","dec1990","City",2,72500,2262
"Northeast",1200,1827,1335,663,305,192,1543,0,0,"Single","pre1950","Suburbs",1,12500,2398
"West",2000,2500,2500,1455,0,0,0,1933,0,"Single","dec1970","Rural",3,22500,3388
"West",,1400,1400,748,0,124,0,1282,0,"Mobile","dec1970","City",4,42500,2154
"Northeast",3200,7488,3344,2303,7088,0,0,112,0,"Single","dec1970","Suburbs",3,42500,2415
"West",550,1378,1378,756,230,0,0,240,209,"Mobile","dec1960","Rural",1,17500,1205
"Midwest",1477,5544,1977,803,5144,983,0,0,0,"Single","dec1990","City",2,67500,1786
"Midwest",,1224,1224,1238,1224,0,0,0,0,"Single","dec1980","City",6,12500,1238
"Midwest",500,712,712,382,178,0,0,0,0,"Apartment","dec1950","Town",4,47500,382
"Midwest",2800,5483,5483,1539,5083,0,0,544,0,"Single","dec1990","Rural",4,52500,2083
"Northeast",1800,2583,1722,2239,2583,520,0,0,0,"Single","dec1970","Suburbs",4,32500,2759
"Northeast",1250,2490,2090,882,663,0,1379,0,0,"Single","dec1970","Suburbs",3,47500,2261
"Northeast",2000,7236,6836,871,6836,1551,0,0,0,"Single","dec2000","Rural",1,77500,2422
"South",1000,2016,1008,881,2016,0,1570,0,0,"Single","dec1960","Rural",1,32500,2451
"West",,282,282,232,0,278,0,0,0,"Apartment","dec1980","City",4,17500,510
"South",1700,2504,2504,1644,2504,0,0,0,0,"Single","dec1960","Rural",2,87500,1644
"West",530,601,601,263,200,119,0,0,0,"Apartment","dec2000","City",1,8750,382
"South",860,910,910,685,910,0,0,0,0,"Apartment","dec1980","City",1,47500,685
"Northeast",5000,5436,3886,1758,5036,2347,0,0,0,"Single","dec1950","Town",4,77500,4105
"Midwest",1400,1398,699,408,0,1070,0,0,0,"Single","dec1990","City",2,27500,1478
"Midwest",,4368,2184,1093,1456,939,0,0,0,"Single","pre1950","Town",1,37500,2032
"West",,2295,1785,1427,0,1242,0,0,0,"Single","pre1950","Town",6,57500,2669
"South",1300,1372,1372,638,1372,830,0,0,0,"Single","dec1970","Rural",2,12500,1468
"Northeast",825,3552,3552,1247,982,1052,0,0,9,"Single","dec1970","Rural",3,22500,2308
"Midwest",2800,1884,1884,1710,1884,1182,0,0,0,"Single","pre1950","Suburbs",3,27500,2892
"West",5100,6676,4018,3298,6026,1502,0,0,0,"Single","dec1960","City",3,120000,4800
"Northeast",2700,9059,5191,1821,8659,0,0,0,0,"Single","dec1990","Suburbs",2,22500,1821
"Midwest",,1260,840,940,1260,634,0,0,0,"Single","dec1960","Town",4,32500,1574
"South",1200,1236,1236,1787,1236,0,0,0,0,"Apartment","dec1990","Town",7,62500,1787
"South",,2704,2304,1399,2304,0,0,0,0,"Single","dec2000","Town",3,110000,1399
"West",2800,989,368,1149,220,1793,0,0,0,"Single","dec1970","City",3,52500,2942
"Northeast",,2472,1296,1114,412,0,750,0,0,"Single","pre1950","City",4,77500,1864
"West",1400,1350,1350,635,225,671,0,0,0,"Single","pre1950","Rural",4,6250,1306
"Northeast",1000,2003,2003,1187,2003,681,0,0,0,"Single","dec1970","Suburbs",2,82500,1868
"South",,2880,2012,77,2480,907,0,0,0,"Single","dec1980","Suburbs",5,32500,984
"West",1546,2396,1468,365,0,467,0,0,0,"Single","dec1960","Suburbs",3,120000,832
"West",1500,3312,2484,1215,414,810,0,0,0,"Single","pre1950","City",2,57500,2025
"Midwest",,3078,1796,1065,3078,735,0,0,0,"Single","dec2000","Suburbs",5,47500,1800
"Northeast",,821,821,217,0,155,0,0,0,"Apartment","dec1960","City",1,12500,372
"West",1800,1600,1600,847,1600,410,0,0,0,"Single","dec1950","City",4,62500,1257
"Midwest",,1768,1518,1448,1518,788,0,0,0,"Single","dec1980","Town",2,62500,2236
"Northeast",,2184,1755,619,546,2257,0,0,0,"Apartment","pre1950","City",4,42500,2876
"Northeast",,2652,2402,2351,2402,1396,0,0,0,"Single","dec1970","Town",8,87500,3747
"South",1800,1946,1546,910,1546,677,0,0,0,"Single","dec1970","Town",2,120000,1587
"Midwest",700,667,400,666,667,0,0,0,0,"Apartment","pre1950","Suburbs",2,22500,666
"Midwest",900,6258,5858,844,2698,902,0,0,0,"Single","dec1990","Rural",4,37500,1746
"Northeast",,4032,2016,1609,1344,0,1749,0,0,"Single","pre1950","Suburbs",5,67500,3358
"South",,1787,1476,347,0,528,0,0,0,"Single","pre1950","City",3,62500,875
"South",,2030,2030,527,2030,1784,0,0,0,"Single","dec1950","City",2,82500,2311
"South",,884,884,1356,884,0,0,0,0,"Mobile","dec1990","Rural",3,17500,1356
"West",952,938,938,507,0,941,0,0,0,"Mobile","dec1970","Town",2,17500,1448
"Northeast",,1804,1443,1094,722,498,1434,0,0,"Apartment","pre1950","Town",2,87500,3026
"Northeast",2300,2450,900,969,1800,0,1107,0,0,"Single","dec1980","Suburbs",2,62500,2076
"West",1200,1173,1173,787,1173,462,0,0,0,"Single","pre1950","City",3,97500,1249
"South",,1472,1222,1306,1222,0,0,0,0,"Single","dec1960","Suburbs",2,37500,1306
"South",980,1740,870,1260,1740,0,0,0,0,"Single","dec1990","City",2,120000,1260
"West",540,420,0,234,0,0,0,686,0,"Mobile","dec1950","City",3,37500,920
"West",700,700,700,116,233,378,0,0,0,"Single","pre1950","City",2,17500,494
"Northeast",,4409,329,621,2204,570,0,0,0,"Apartment","dec1950","City",1,42500,1191
"Northeast",,3685,2789,570,921,0,3393,0,0,"Single","pre1950","City",3,27500,3963
"West",440,476,476,429,0,0,0,0,0,"Apartment","dec1970","City",1,12500,429
"South",1850,2160,2160,2530,2160,0,0,0,0,"Single","dec1990","Rural",3,37500,2530
"West",600,875,583,1192,292,0,0,0,0,"Single","dec1950","City",3,97500,1192
"Midwest",,2227,2227,877,670,1232,0,0,0,"Single","dec1950","Suburbs",3,37500,2109
"South",2100,2827,2827,1054,2827,1582,0,0,0,"Single","dec1960","Rural",2,42500,2636
"West",1500,1802,721,428,835,572,0,0,0,"Single","pre1950","Suburbs",2,32500,1000
"Midwest",,1919,1919,593,548,1557,0,0,0,"Single","pre1950","Town",2,37500,2150
"Northeast",,889,889,386,0,0,2487,0,0,"Apartment","dec1960","Town",2,27500,2873
"West",1400,2076,1676,2052,1676,344,0,0,0,"Single","dec2000","Suburbs",3,37500,2396
"Midwest",1800,1631,1631,1551,1631,0,0,784,0,"Single","pre1950","Rural",2,67500,2335
"South",1100,1440,1440,550,1440,607,0,0,0,"Apartment","dec1990","City",1,27500,1157
"Northeast",,619,619,127,0,406,0,0,0,"Apartment","dec1960","City",2,8750,533
"Midwest",1100,2204,1529,569,1804,675,0,0,0,"Single","dec1990","City",1,22500,1244
"South",,2030,1780,1482,1780,0,0,0,0,"Single","dec1990","Rural",1,52500,1482
"South",2089,3168,2422,3637,2768,398,0,0,0,"Single","dec1990","Suburbs",4,52500,4035
"Midwest",1000,3180,2780,964,2780,0,0,614,0,"Mobile","dec1990","Rural",2,67500,1578
"Northeast",1627,1620,1620,1350,1620,268,0,0,0,"Single","dec1960","Rural",2,47500,1618
"Midwest",1475,2626,2226,968,2226,0,0,0,0,"Single","dec1970","City",2,47500,968
"Midwest",,5483,5083,2446,5083,0,0,0,0,"Single","dec1980","Rural",3,27500,2446
"Northeast",3200,4976,2413,2356,1357,3402,0,563,0,"Single","pre1950","City",4,92500,6321
"West",1700,3036,3036,753,3036,440,0,0,0,"Single","pre1950","City",2,62500,1193
"Midwest",,2754,1607,726,689,781,0,0,0,"Single","dec1950","Town",2,62500,1507
"Midwest",,1829,1829,1131,1829,1352,0,0,0,"Single","pre1950","Suburbs",3,110000,2483
"Northeast",,5168,2184,399,954,1057,0,0,0,"Single","pre1950","City",1,8750,1456
"South",,1346,1346,1153,577,964,0,0,0,"Single","dec1950","City",2,6250,2117
"South",864,864,864,1113,864,0,0,0,0,"Mobile","dec1970","Suburbs",1,27500,1113
"Midwest",,3844,1127,894,1446,660,0,0,0,"Single","dec1970","Town",1,17500,1554
"South",,1085,1085,772,1085,0,0,0,0,"Apartment","dec1990","City",1,17500,772
"South",1600,1596,1196,1207,1196,388,0,337,0,"Single","dec2000","Rural",4,37500,1932
"South",1200,2361,2046,884,787,0,1938,0,0,"Single","pre1950","City",2,82500,2822
"Midwest",,881,881,349,881,484,0,0,0,"Apartment","dec1970","Town",2,3750,833
"Midwest",4500,7138,5762,1883,7138,1624,0,0,0,"Single","dec1950","City",4,110000,3507
"Northeast",2000,5376,3584,1170,0,0,3037,0,0,"Single","dec1960","Rural",2,82500,4207
"Northeast",,2505,1815,946,501,702,0,0,0,"Single","pre1950","Town",4,27500,1648
"Northeast",600,1809,1233,951,1809,842,0,0,0,"Single","dec1970","Town",2,82500,1793
"Midwest",,2196,1796,1371,718,0,0,0,0,"Single","dec1970","City",2,22500,1371
"South",,952,952,1158,476,391,0,0,0,"Mobile","dec1980","Rural",4,17500,1549
"Northeast",,513,513,363,0,332,635,0,0,"Apartment","pre1950","City",3,17500,1330
"South",,815,815,916,815,0,0,0,0,"Apartment","dec1980","City",3,120000,916
"South",1900,4028,1281,638,1211,412,0,0,0,"Single","dec1980","Suburbs",1,57500,1050
"South",,977,977,1879,977,0,0,0,0,"Apartment","dec1980","Town",3,22500,1879
"Midwest",2300,3839,3439,1742,3439,1404,0,0,0,"Single","dec1970","Suburbs",3,120000,3146
"Midwest",2900,4128,4128,1052,4128,0,0,2225,0,"Single","dec1990","Rural",2,47500,3277
"Northeast",,2688,1094,1126,1625,0,0,0,0,"Single","dec1960","Town",1,8750,1126
"Midwest",2007,2547,1431,660,2147,626,0,0,0,"Single","dec2000","Suburbs",3,52500,1286
"South",1400,1664,1664,888,1664,902,0,0,0,"Single","pre1950","City",5,17500,1790
"South",,1440,1440,706,1440,0,0,0,0,"Mobile","dec2000","Rural",6,22500,706
"South",1750,9108,5672,1978,8708,0,0,850,0,"Single","dec2000","Rural",4,82500,2828
"Northeast",,600,600,742,0,400,0,0,0,"Apartment","dec1990","Suburbs",2,57500,1142
"Northeast",2052,6156,3854,1088,1687,0,1913,0,0,"Single","pre1950","Town",4,110000,3001
"Northeast",,2428,1478,750,0,0,1924,0,0,"Single","dec1950","Suburbs",3,77500,2674
"West",800,970,970,271,485,0,0,1407,0,"Apartment","dec1970","City",4,8750,1678
"South",,2080,624,799,1664,737,0,0,0,"Single","dec1950","Town",2,12500,1536
"West",,961,961,300,0,882,0,0,0,"Single","dec1950","Suburbs",2,17500,1182
"Northeast",1500,2210,2210,1064,556,1288,0,0,0,"Single","dec1950","Town",2,52500,2352
"South",,731,731,1157,731,0,0,0,0,"Apartment","dec1980","City",1,12500,1157
"West",500,963,321,757,0,144,0,0,0,"Mobile","dec1950","City",1,1250,901
"South",,360,360,1100,120,0,0,221,0,"Mobile","dec1980","Rural",3,22500,1321
"West",,1200,1200,257,0,657,0,0,0,"Single","dec1960","City",2,17500,914
"Midwest",,7210,6810,1319,6810,2281,0,0,0,"Single","dec1970","Town",6,3750,3600
"Midwest",1200,2632,2632,1099,2232,832,0,0,0,"Single","dec1990","Town",2,37500,1931
"Midwest",1900,5565,4238,1649,5165,850,0,0,0,"Single","dec2000","Town",5,12500,2499
"South",,1463,1463,1791,614,0,0,323,0,"Mobile","dec1970","Rural",4,22500,2114
"South",1000,720,720,674,720,0,0,1336,0,"Single","dec1960","Rural",2,32500,2010
"Midwest",,2112,1548,1654,1712,1082,0,0,0,"Single","dec1950","Town",2,42500,2736
"South",1200,966,725,1576,725,536,0,0,0,"Apartment","pre1950","City",3,42500,2112
"Midwest",,453,453,226,453,290,0,0,0,"Apartment","dec1970","City",1,8750,516
"West",,1020,1020,368,0,420,0,0,0,"Single","dec1980","City",2,8750,788
"West",,3336,1191,217,0,518,0,0,0,"Single","pre1950","Rural",1,12500,735
"Northeast",2200,3775,2300,3286,3375,0,1299,0,0,"Single","dec1970","Suburbs",4,110000,4585
"Midwest",2000,6900,4860,1053,2070,0,2085,0,0,"Single","pre1950","City",6,8750,3138
"South",1075,1015,0,1237,1015,0,0,0,0,"Apartment","dec1990","City",2,52500,1237
"West",1200,1240,1240,725,0,595,0,0,0,"Single","dec1980","City",3,120000,1320
"Northeast",,2204,2204,1181,2204,1112,0,0,0,"Apartment","dec2000","Town",3,1250,2293
"Midwest",,1080,648,661,369,921,0,0,0,"Mobile","dec1980","Town",1,32500,1582
"South",2000,1953,1953,1406,1953,0,0,1031,0,"Single","dec1980","Rural",3,67500,2437
"South",,5682,4292,1037,5282,862,0,0,0,"Single","dec1990","Suburbs",3,97500,1899
"West",,1840,1840,2588,0,370,0,0,0,"Single","dec1960","Town",5,27500,2958
"West",1833,2365,1372,1780,590,503,0,0,0,"Single","dec1990","City",1,92500,2283
"Northeast",,1167,1167,544,233,475,1245,0,0,"Apartment","pre1950","City",1,8750,2264
"South",1250,1064,1064,499,709,0,0,1040,0,"Single","dec1950","Rural",2,67500,1539
"Midwest",900,1591,1118,1195,671,0,0,0,0,"Single","dec1970","Suburbs",3,17500,1195
"Northeast",,2838,0,1186,1419,1207,0,0,0,"Single","pre1950","Town",2,92500,2393
"Northeast",2340,3312,2002,1971,2912,675,0,0,0,"Single","dec1980","Town",6,110000,2646
"West",,806,806,726,161,0,0,0,0,"Apartment","dec1960","City",2,17500,726
